 Parameters used:

First geneneration spectra extracted for
excitation energies between  8500.-    0. keV
corresponding to y-channels   210 -   40
 Number of spectra=  171
 Ax0 = -2000.0 Ax1 =    20.0 Ay0 = -2000.0 Ay1 =    50.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=16.0 Exponent n=4.2
 Normalization= 2 Stat/Tot= 2 Areacorr.= 1
 Experimental lower gamma threshold:      400.0 keV (ch= 120)
 Upper threshold for statistical gammas:  400.0 keV (ch= 120)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
 89  2450.   345176.   144685.   200491. 1.79    1000  1.15  1.72  1.79  1.72  1.57
 88  2400.   328305.   136976.   191328. 1.74    1000  1.15  1.72  1.74  1.72  1.52
 87  2350.   293718.   119723.   173996. 1.69    1000  1.13  1.69  1.69  1.69  1.47
 86  2300.   276605.   108658.   167947. 1.65    1000  1.10  1.65  1.65  1.65  1.43
 85  2250.   240893.    92440.   148454. 1.62    1000  1.11  1.62  1.62  1.62  1.41
 84  2200.   193784.    72297.   121487. 1.60    1000  1.10  1.60  1.60  1.60  1.38
 83  2150.   160643.    59036.   101607. 1.58    1000  1.12  1.58  1.58  1.58  1.36
 82  2100.   144064.    51754.    92310. 1.58    1000  1.15  1.56  1.58  1.56  1.36
 81  2050.   123290.    43195.    80094. 1.54    1000  1.14  1.54  1.54  1.54  1.31
 80  2000.   102223.    34065.    68159. 1.50    1000  1.11  1.50  1.50  1.50  1.27
 79  1950.    93013.    30519.    62495. 1.49    1000  1.15  1.49  1.49  1.49  1.26
 78  1900.    88753.    27970.    60783. 1.47    1000  1.15  1.46  1.47  1.46  1.24
 77  1850.    88917.    26359.    62559. 1.48    1000  1.15  1.42  1.48  1.42  1.24
 76  1800.    85532.    23195.    62337. 1.52    1000  1.15  1.37  1.52  1.37  1.27
 75  1750.    72975.    18621.    54354. 1.52    1000  1.15  1.34  1.52  1.34  1.26
